state,birth_year,birth_month,LBW_ratio,latitude,longitude,mp1,mp2,mp3,mp4,mp5
Alabama,2016.0,1,0.1091894144613461,32.7794,-86.8287,0.0005,0.0063333333333333,0.0063333333333333,0.323,0.0063333333333333
Alabama,2016.0,10,0.1027397260273972,32.7794,-86.8287,0.323,634.5971904761905,1081.081081081081,534.787380952381,734.407
Alabama,2016.0,11,0.1077551020408163,32.7794,-86.8287,721.0371774193549,721.0371774193549,850.0,721.0371774193549,2.43875
Alabama,2016.0,12,0.1060421735604217,32.7794,-86.8287,728.251090909091,1304.3478260869565,493.6539423076923,728.251090909091,728.251090909091
Alabama,2016.0,2,0.0884786760025461,32.7794,-86.8287,0.0005,0.0063333333333333,0.323,0.0063333333333333,0.0063333333333333
Alabama,2016.0,3,0.1035699460356994,32.7794,-86.8287,0.0063333333333333,0.323,0.323,0.323,1304.3478260869565
Alabama,2016.0,4,0.1047387068201948,32.7794,-86.8287,0.0063333333333333,0.323,0.323,0.323,1081.081081081081
Alabama,2016.0,5,0.1028797996661101,32.7794,-86.8287,0.0063333333333333,0.323,0.323,0.323,850.0
Alabama,2016.0,6,0.1051795991268108,32.7794,-86.8287,493.6539423076923,0.323,493.6539423076923,1304.3478260869565,493.6539423076923
Alabama,2016.0,7,0.1072279586973788,32.7794,-86.8287,534.787380952381,0.323,534.787380952381,1081.081081081081,534.787380952381
Alabama,2016.0,8,0.0983267531490881,32.7794,-86.8287,0.323,721.0371774193549,721.0371774193549,850.0,721.0371774193549
Alabama,2016.0,9,0.1017013955266679,32.7794,-86.8287,0.323,610.9525166083916,1304.3478260869565,493.6539423076923,728.251090909091
Alabama,2017.0,1,0.1003861003861003,32.7794,-86.8287,634.5971904761905,1081.081081081081,534.787380952381,734.407,400.8
Alabama,2017.0,10,0.1065557536145771,32.7794,-86.8287,734.407,400.8,926.5731343283584,734.407,734.407
Alabama,2017.0,11,0.1141993957703927,32.7794,-86.8287,2.43875,334.17380952380944,1161.302,334.17380952380944,334.17380952380944
Alabama,2017.0,12,0.103582395087001,32.7794,-86.8287,919.4773892773893,607.189393939394,1231.7653846153846,919.4773892773893,919.4773892773893
Alabama,2017.0,2,0.0919207656354329,32.7794,-86.8287,527.6054934715821,850.0,721.0371774193549,2.43875,334.17380952380944
Alabama,2017.0,3,0.0994164235097957,32.7794,-86.8287,1304.3478260869565,493.6539423076923,728.251090909091,667.7202424242425,607.189393939394
Alabama,2017.0,4,0.0954337899543379,32.7794,-86.8287,1081.081081081081,534.787380952381,734.407,400.8,926.5731343283584
Alabama,2017.0,5,0.1003576688407321,32.7794,-86.8287,850.0,721.0371774193549,2.43875,334.17380952380944,1161.302
Alabama,2017.0,6,0.0935745477230193,32.7794,-86.8287,493.6539423076923,728.251090909091,667.7202424242425,607.189393939394,1231.7653846153846
Alabama,2017.0,7,0.1064631245043616,32.7794,-86.8287,534.787380952381,734.407,400.8,926.5731343283584,634.5971904761905
Alabama,2017.0,8,0.1046343229543808,32.7794,-86.8287,721.0371774193549,2.43875,334.17380952380944,1161.302,527.6054934715821
Alabama,2017.0,9,0.1040906472056846,32.7794,-86.8287,728.251090909091,728.251090909091,607.189393939394,1231.7653846153846,728.251090909091
Alabama,2018.0,1,0.1106792144026186,32.7794,-86.8287,400.8,926.5731343283584,663.6865671641792,663.6865671641792,663.6865671641792
Alabama,2018.0,2,0.1058579335793357,32.7794,-86.8287,334.17380952380944,1161.302,747.7379047619047,747.7379047619047,747.7379047619047
Alabama,2018.0,3,0.0953483477162702,32.7794,-86.8287,607.189393939394,1231.7653846153846,919.4773892773893,919.4773892773893,919.4773892773893
Alabama,2018.0,4,0.109769984058301,32.7794,-86.8287,926.5731343283584,926.5731343283584,926.5731343283584,926.5731343283584,926.5731343283584
Alabama,2018.0,5,0.1069709022398995,32.7794,-86.8287,1161.302,1161.302,1161.302,1161.302,1161.302
Alabama,2018.0,6,0.1002311409960075,32.7794,-86.8287,1231.7653846153846,1231.7653846153846,1231.7653846153846,1231.7653846153846,1231.7653846153846
California,2016.0,1,0.0676613374679104,37.1841,-119.469,0.0012857142857142,0.1931784444444444,0.253352,0.0978392222222222,0.0025
California,2016.0,10,0.0685255757805288,37.1841,-119.469,0.0025,0.0025,0.006,0.0005,0.0025
California,2016.0,11,0.0697557921102066,37.1841,-119.469,0.0025,0.0025,0.006,0.0005,0.0025
California,2016.0,12,0.0696492750030982,37.1841,-119.469,0.0025,0.003,0.0035,0.0,0.410987
California,2016.0,2,0.0690129663932257,37.1841,-119.469,0.002090909090909,0.4443416666666666,0.2074792,0.1049896,0.0025
California,2016.0,3,0.0675361538649766,37.1841,-119.469,0.0049999999999999,0.2880119,0.0049999999999999,0.0025,0.0049999999999999
California,2016.0,4,0.0696048474804495,37.1841,-119.469,0.1931784444444444,0.253352,0.0995892222222222,0.0025,0.006
California,2016.0,5,0.071605499949449,37.1841,-119.469,0.4443416666666666,0.2074792,0.1067396,0.0025,0.006
California,2016.0,6,0.0677829738019812,37.1841,-119.469,0.2880119,0.0035,0.0025,0.0035,0.0035
California,2016.0,7,0.0698019922550476,37.1841,-119.469,0.253352,0.00425,0.0025,0.006,0.0005
California,2016.0,8,0.0661736948460018,37.1841,-119.469,0.2074792,0.00425,0.0025,0.006,0.0005
California,2016.0,9,0.0654199267333001,37.1841,-119.469,0.0025,0.0025,0.0025,0.0035,0.0
California,2017.0,1,0.0717951323611605,37.1841,-119.469,0.0025,0.006,0.0005,0.00425,0.410987
