Unnamed: 0.1,Unnamed: 0,state,birth_year,birth_month,LBW_ratio,latitude,longitude,mp1,mp2,mp3,mp4,mp5,Degree Farenheit
67,67,California,2016,5,0.0716055,37.1841,-119.469,0.444341667,0.2074792,,0.0025,0.006,53.8
68,68,California,2016,6,0.067782974,37.1841,-119.469,0.2880119,,0.0025,,0.0035,57.1
69,69,California,2016,7,0.069801992,37.1841,-119.469,0.253352,,0.0025,0.006,0.0005,59.9
70,70,California,2016,8,0.066173695,37.1841,-119.469,0.2074792,,0.0025,0.006,0.0005,61.9
71,71,California,2016,9,0.065419927,37.1841,-119.469,,0.0025,,0.0035,0,62.8
72,72,California,2017,1,0.071795132,37.1841,-119.469,0.0025,0.006,0.0005,,0.410987,42.2
73,73,California,2017,10,0.068389396,37.1841,-119.469,,0.410987,,,,62.3
74,74,California,2017,11,0.069035716,37.1841,-119.469,,0.410987,,,,61.5
75,75,California,2017,12,0.069404325,37.1841,-119.469,0.410987,,,,,60.3
76,76,California,2017,2,0.067162935,37.1841,-119.469,0.0025,0.006,0.0005,,0.410987,44.8
77,77,California,2017,3,0.068011041,37.1841,-119.469,,0.0035,0,0.410987,,47.6
78,78,California,2017,4,0.069400119,37.1841,-119.469,0.006,0.0005,,0.410987,,49.6
79,79,California,2017,5,0.068248731,37.1841,-119.469,0.006,0.0005,,0.410987,,52.4
80,80,California,2017,6,0.068474159,37.1841,-119.469,0.0035,0,0.410987,,,55.8
81,81,California,2017,7,0.070427756,37.1841,-119.469,0.0005,,0.410987,,,59.1
82,82,California,2017,8,0.067639257,37.1841,-119.469,0.0005,,0.410987,,,61.4
83,83,California,2017,9,0.067738979,37.1841,-119.469,0,0.410987,,,,62.4
84,84,California,2018,1,0.070534311,37.1841,-119.469,0.410987,,,,,48.9
85,85,California,2018,10,0.069856216,37.1841,-119.469,,,1579.689704,0.172157,0.223749,62.4
86,86,California,2018,11,0.07270532,37.1841,-119.469,,,1579.689704,0.172157,0.223749,61.5
87,87,California,2018,12,0.068530687,37.1841,-119.469,,1527.973672,1441.12137,0.223749,,60.1
88,88,California,2018,2,0.068210172,37.1841,-119.469,0.410987,,,,,47.8
89,89,California,2018,3,0.070561477,37.1841,-119.469,,,,,1527.973672,48.2
90,90,California,2018,4,0.070611384,37.1841,-119.469,,,,,1579.689704,50.4
91,91,California,2018,5,0.072318802,37.1841,-119.469,,,,,1579.689704,52.9
92,92,California,2018,6,0.070054496,37.1841,-119.469,,,,1527.973672,1441.12137,56
93,93,California,2018,7,0.069534919,37.1841,-119.469,,,,1579.689704,0.172157,59.4
94,94,California,2018,8,0.068020922,37.1841,-119.469,,,,1579.689704,0.172157,61.5
95,95,California,2018,9,0.066668373,37.1841,-119.469,,,1527.973672,1441.12137,0.223749,62.6
96,96,California,2019,1,0.073316922,37.1841,-119.469,,1579.689704,0.172157,0.223749,,46.1
97,97,California,2019,10,0.068644413,37.1841,-119.469,0.223749,,,,,60.4
98,98,California,2019,11,0.072802465,37.1841,-119.469,0.223749,,,,,59.7
99,99,California,2019,12,0.072502671,37.1841,-119.469,,,,,,58.4
100,100,California,2019,2,0.070276803,37.1841,-119.469,,1579.689704,0.172157,0.223749,,43.4
101,101,California,2019,3,0.071318915,37.1841,-119.469,1527.973672,1441.12137,0.223749,,,45.2
102,102,California,2019,4,0.069555042,37.1841,-119.469,1579.689704,0.172157,0.223749,,,48.5
103,103,California,2019,5,0.070655957,37.1841,-119.469,1579.689704,0.172157,0.223749,,,50.5
104,104,California,2019,6,0.070173469,37.1841,-119.469,1441.12137,0.223749,,,,53.9
105,105,California,2019,7,0.072265824,37.1841,-119.469,0.172157,0.223749,,,,57
106,106,California,2019,8,0.070730919,37.1841,-119.469,0.172157,0.223749,,,,59.5
107,107,California,2019,9,0.069834786,37.1841,-119.469,0.223749,,,,,60.5
108,108,California,2020,1,0.069854782,37.1841,-119.469,,,,,,45.3
109,109,California,2020,10,0.068919446,37.1841,-119.469,,,,,,63
110,110,California,2020,11,0.06350873,37.1841,-119.469,,,,,,61.9
111,111,California,2020,12,0.070661545,37.1841,-119.469,,,,,,60.5
112,112,California,2020,2,0.070991653,37.1841,-119.469,,,,,,47.3
113,113,California,2020,3,0.071219931,37.1841,-119.469,,,,,,47.5
114,114,California,2020,4,0.068543488,37.1841,-119.469,,,,,,49.8
115,115,California,2020,5,0.067100249,37.1841,-119.469,,,,,,52.7
116,116,California,2020,6,0.072654412,37.1841,-119.469,,,,,,55.7
117,117,California,2020,7,0.067991716,37.1841,-119.469,,,,,,58.7
118,118,California,2020,8,0.069146361,37.1841,-119.469,,,,,,61.2
119,119,California,2020,9,0.06932571,37.1841,-119.469,,,,,,62.6
120,120,Connecticut,2016,1,0.088589653,41.6219,-72.7273,0.002,0.00375,0.017615385,0.121666667,0.014,29.7
121,121,Connecticut,2016,10,0.073162393,41.6219,-72.7273,0.121666667,0.014,0.0032,0.005666667,0.000666667,54.5
122,122,Connecticut,2016,11,0.079175705,41.6219,-72.7273,,0.007,0.006,0.00125,,53.5
123,123,Connecticut,2016,12,0.088384694,41.6219,-72.7273,0.014,0,0.006,0.00125,,51.8
124,124,Connecticut,2016,2,0.069992554,41.6219,-72.7273,0.002,0.004222222,0.039066667,,0.007,30.9
125,125,Connecticut,2016,3,0.086635326,41.6219,-72.7273,0.0015,0.007166667,0.047666667,0.014,0,35
126,126,Connecticut,2016,4,0.074705111,41.6219,-72.7273,0.00375,0.017615385,0.121666667,0.014,0.0032,37.9
127,127,Connecticut,2016,5,0.074784276,41.6219,-72.7273,0.004222222,0.039066667,,0.007,0.006,42
128,128,Connecticut,2016,6,0.071567358,41.6219,-72.7273,0.007166667,0.047666667,0.014,0,0.006,46.3
129,129,Connecticut,2016,7,0.066349206,41.6219,-72.7273,0.017615385,0.121666667,0.014,0.0032,0.005666667,50.2
130,130,Connecticut,2016,8,0.075762242,41.6219,-72.7273,0.039066667,,0.007,0.006,0.00125,53.2
131,131,Connecticut,2016,9,0.070345273,41.6219,-72.7273,0.047666667,0.014,0,0.006,0.00125,54.6
132,132,Connecticut,2017,1,0.086343931,41.6219,-72.7273,0.014,0.0032,0.005666667,0.000666667,,32.7
133,133,Connecticut,2017,10,0.083135392,41.6219,-72.7273,0.000666667,,,,,54.1
134,134,Connecticut,2017,11,0.074074074,41.6219,-72.7273,,,,,,52.9
135,135,Connecticut,2017,12,0.076581576,41.6219,-72.7273,,,,,,50.9
136,136,Connecticut,2017,2,0.073741709,41.6219,-72.7273,0.007,0.006,0.00125,,,33.7
137,137,Connecticut,2017,3,0.080726539,41.6219,-72.7273,0,0.006,0.00125,,,33.6
138,138,Connecticut,2017,4,0.08707671,41.6219,-72.7273,0.0032,0.005666667,0.000666667,,,38.1
139,139,Connecticut,2017,5,0.083497699,41.6219,-72.7273,0.006,0.00125,,,,41.8
140,140,Connecticut,2017,6,0.083250083,41.6219,-72.7273,0.006,0.00125,,,,46
141,141,Connecticut,2017,7,0.076262793,41.6219,-72.7273,0.005666667,0.000666667,,,,49.7
142,142,Connecticut,2017,8,0.07523511,41.6219,-72.7273,0.00125,,,,,52.1
143,143,Connecticut,2017,9,0.075646345,41.6219,-72.7273,0.00125,,,,,53.6
144,144,Connecticut,2018,1,0.075741336,41.6219,-72.7273,,,,,,25.4
145,145,Connecticut,2018,10,0.076598507,41.6219,-72.7273,,,29.66666667,,,53.6
146,146,Connecticut,2018,11,0.073706591,41.6219,-72.7273,,29.66666667,,,,52.3
147,147,Connecticut,2018,12,0.085479256,41.6219,-72.7273,,29.66666667,,,,50.8
148,148,Connecticut,2018,2,0.083870968,41.6219,-72.7273,,,,,29.66666667,30.6
149,149,Connecticut,2018,3,0.078756477,41.6219,-72.7273,,,,,29.66666667,32.5
150,150,Connecticut,2018,4,0.073503048,41.6219,-72.7273,,,,,29.66666667,35.2
151,151,Connecticut,2018,5,0.071750322,41.6219,-72.7273,,,,29.66666667,,40.6
152,152,Connecticut,2018,6,0.07565337,41.6219,-72.7273,,,,29.66666667,,44.9
153,153,Connecticut,2018,7,0.066018767,41.6219,-72.7273,,,,29.66666667,,49.1
154,154,Connecticut,2018,8,0.066797002,41.6219,-72.7273,,,29.66666667,,,52.2
155,155,Connecticut,2018,9,0.071994488,41.6219,-72.7273,,,29.66666667,,,53.8
156,156,Connecticut,2019,1,0.083183937,41.6219,-72.7273,,29.66666667,,,,27
157,157,Connecticut,2019,10,0.073773266,41.6219,-72.7273,,,,,,52.7
158,158,Connecticut,2019,11,0.077237282,41.6219,-72.7273,,,,,,51.4
159,159,Connecticut,2019,12,0.073668855,41.6219,-72.7273,,,,,,49.8
160,160,Connecticut,2019,2,0.074621065,41.6219,-72.7273,29.66666667,,,,,28.6
