state,birth_year,birth_month,LBW_ratio,mp1,mp2,mp3,mp4,mp5,missing_per_row,pre_pregnancy_temp,early_pregnancy_temp,mid_pregnancy_temp,late_pregnancy_temp,post_pregnancy_temp,Degree_Fahrenheit,birth_date,average_mp
Alabama,2016,1,0.1091894144613461,0.0005,0.0063333333333333,-1e-06,0.323,-1e-06,2,65.26666666666667,65.83333333333333,57.4,46.73333333333333,50.4,43.0,2016-01-01,0.10977744444444443
Alabama,2016,10,0.1027397260273972,0.323,-1e-06,1081.081081081081,534.787380952381,734.407,1,65.83333333333333,57.4,46.73333333333333,66.53333333333335,59.85,67.6,2016-10-01,538.6228203444873
Alabama,2016,11,0.1077551020408163,-1e-06,-1e-06,850.0,721.0371774193549,2.43875,2,67.06666666666666,60.7,50.4,58.333333333333336,54.35,66.7,2016-11-01,523.6790588064516
Alabama,2016,12,0.1060421735604217,-1e-06,1304.3478260869565,493.6539423076923,728.251090909091,-1e-06,2,67.26666666666667,63.633333333333326,54.03333333333333,51.56666666666666,53.96666666666667,65.3,2016-12-01,842.08428643458
Alabama,2016,2,0.0884786760025461,0.0005,0.0063333333333333,0.323,-1e-06,-1e-06,2,58.083333333333336,67.06666666666666,60.7,50.4,54.03333333333333,46.4,2016-02-01,0.10977744444444444
Alabama,2016,3,0.1035699460356994,0.0063333333333333,-1e-06,0.323,-1e-06,1304.3478260869565,2,50.9,67.26666666666667,63.633333333333326,54.03333333333333,57.4,50.8,2016-03-01,0.10766600000000003
Alabama,2016,4,0.1047387068201948,0.0063333333333333,-1e-06,0.323,-1e-06,1081.081081081081,2,46.73333333333333,66.53333333333335,65.83333333333333,57.4,60.7,54.0,2016-04-01,0.10766600000000003
Alabama,2016,5,0.1028797996661101,0.0063333333333333,0.323,-1e-06,-1e-06,850.0,2,50.4,58.333333333333336,67.06666666666666,60.7,63.633333333333326,57.3,2016-05-01,0.10766600000000003
Alabama,2016,6,0.1051795991268108,-1e-06,0.323,-1e-06,1304.3478260869565,493.6539423076923,2,54.03333333333333,51.56666666666666,67.26666666666667,63.633333333333326,65.83333333333333,60.9,2016-06-01,434.8902750289855
Alabama,2016,7,0.1072279586973788,-1e-06,0.323,-1e-06,1081.081081081081,534.787380952381,2,57.4,46.73333333333333,66.53333333333335,65.83333333333333,67.06666666666666,63.9,2016-07-01,360.4680266936937
Alabama,2016,8,0.0983267531490881,0.323,-1e-06,-1e-06,850.0,721.0371774193549,2,60.7,50.4,58.333333333333336,67.06666666666666,67.26666666666667,66.1,2016-08-01,283.33333266666665
Alabama,2016,9,0.1017013955266679,0.323,-1e-06,1304.3478260869565,493.6539423076923,728.251090909091,1,63.633333333333326,54.03333333333333,51.56666666666666,67.26666666666667,66.53333333333335,67.5,2016-09-01,599.3339224648829
Alabama,2017,1,0.1003861003861003,-1e-06,1081.081081081081,534.787380952381,734.407,400.8,1,66.53333333333335,67.0,60.76666666666667,53.96666666666667,55.96666666666667,52.4,2017-01-01,783.4251540111541
Alabama,2017,10,0.1065557536145771,734.407,400.8,926.5731343283584,-1e-06,-1e-06,2,67.0,60.76666666666667,53.96666666666667,66.5,59.15,67.8,2017-10-01,442.45771110945276
Alabama,2017,11,0.1141993957703927,2.43875,334.17380952380944,1161.302,-1e-06,-1e-06,2,67.7,63.20000000000001,55.96666666666667,61.36666666666667,54.25,66.7,2017-11-01,498.4919361746031
Alabama,2017,12,0.103582395087001,-1e-06,607.189393939394,1231.7653846153846,-1e-06,-1e-06,3,67.5,65.39999999999999,58.20000000000001,57.13333333333333,46.96666666666666,65.0,2017-12-01,612.9849258515928
Alabama,2017,2,0.0919207656354329,-1e-06,850.0,721.0371774193549,2.43875,334.17380952380944,1,59.85,67.7,63.20000000000001,55.96666666666667,58.20000000000001,54.0,2017-02-01,524.4919758064517
Alabama,2017,3,0.0994164235097957,1304.3478260869565,493.6539423076923,728.251090909091,-1e-06,607.189393939394,1,54.35,67.5,65.39999999999999,58.20000000000001,60.76666666666667,55.5,2017-03-01,407.3016774055944
Alabama,2017,4,0.0954337899543379,1081.081081081081,534.787380952381,734.407,400.8,926.5731343283584,0,53.96666666666667,66.5,67.0,60.76666666666667,63.20000000000001,58.4,2017-04-01,556.6647936507936
Alabama,2017,5,0.1003576688407321,850.0,721.0371774193549,2.43875,334.17380952380944,1161.302,0,55.96666666666667,61.36666666666667,67.7,63.20000000000001,65.39999999999999,60.7,2017-05-01,352.5499123143881
Alabama,2017,6,0.0935745477230193,493.6539423076923,728.251090909091,-1e-06,607.189393939394,1231.7653846153846,1,58.20000000000001,57.13333333333333,67.5,65.39999999999999,67.0,63.2,2017-06-01,445.146827949495
Alabama,2017,7,0.1064631245043616,534.787380952381,734.407,400.8,926.5731343283584,-1e-06,1,60.76666666666667,53.96666666666667,66.5,67.0,67.7,65.7,2017-07-01,687.2600447761196
Alabama,2017,8,0.1046343229543808,721.0371774193549,2.43875,334.17380952380944,1161.302,-1e-06,1,63.20000000000001,55.96666666666667,61.36666666666667,67.7,67.5,67.3,2017-08-01,499.3048531746031
