state,birth_year,birth_month,LBW_ratio,latitude,longitude,mp1,mp2,mp3,mp4,mp5,missing_per_row
Alabama,2016.0,1,0.1091894144613461,32.7794,-86.8287,0.0005,0.0063333333333333,-1e-06,0.323,-1e-06,2
Alabama,2016.0,10,0.1027397260273972,32.7794,-86.8287,0.323,-1e-06,1081.081081081081,534.787380952381,734.407,1
Alabama,2016.0,11,0.1077551020408163,32.7794,-86.8287,-1e-06,-1e-06,850.0,721.0371774193549,2.43875,2
Alabama,2016.0,12,0.1060421735604217,32.7794,-86.8287,-1e-06,1304.3478260869565,493.6539423076923,728.251090909091,-1e-06,2
Alabama,2016.0,2,0.0884786760025461,32.7794,-86.8287,0.0005,0.0063333333333333,0.323,-1e-06,-1e-06,2
Alabama,2016.0,3,0.1035699460356994,32.7794,-86.8287,0.0063333333333333,-1e-06,0.323,-1e-06,1304.3478260869565,2
Alabama,2016.0,4,0.1047387068201948,32.7794,-86.8287,0.0063333333333333,-1e-06,0.323,-1e-06,1081.081081081081,2
Alabama,2016.0,5,0.1028797996661101,32.7794,-86.8287,0.0063333333333333,0.323,-1e-06,-1e-06,850.0,2
Alabama,2016.0,6,0.1051795991268108,32.7794,-86.8287,-1e-06,0.323,-1e-06,1304.3478260869565,493.6539423076923,2
Alabama,2016.0,7,0.1072279586973788,32.7794,-86.8287,-1e-06,0.323,-1e-06,1081.081081081081,534.787380952381,2
Alabama,2016.0,8,0.0983267531490881,32.7794,-86.8287,0.323,-1e-06,-1e-06,850.0,721.0371774193549,2
Alabama,2016.0,9,0.1017013955266679,32.7794,-86.8287,0.323,-1e-06,1304.3478260869565,493.6539423076923,728.251090909091,1
Alabama,2017.0,1,0.1003861003861003,32.7794,-86.8287,-1e-06,1081.081081081081,534.787380952381,734.407,400.8,1
Alabama,2017.0,10,0.1065557536145771,32.7794,-86.8287,734.407,400.8,926.5731343283584,-1e-06,-1e-06,2
Alabama,2017.0,11,0.1141993957703927,32.7794,-86.8287,2.43875,334.17380952380944,1161.302,-1e-06,-1e-06,2
Alabama,2017.0,12,0.103582395087001,32.7794,-86.8287,-1e-06,607.189393939394,1231.7653846153846,-1e-06,-1e-06,3
Alabama,2017.0,2,0.0919207656354329,32.7794,-86.8287,-1e-06,850.0,721.0371774193549,2.43875,334.17380952380944,1
Alabama,2017.0,3,0.0994164235097957,32.7794,-86.8287,1304.3478260869565,493.6539423076923,728.251090909091,-1e-06,607.189393939394,1
Alabama,2017.0,4,0.0954337899543379,32.7794,-86.8287,1081.081081081081,534.787380952381,734.407,400.8,926.5731343283584,0
Alabama,2017.0,5,0.1003576688407321,32.7794,-86.8287,850.0,721.0371774193549,2.43875,334.17380952380944,1161.302,0
Alabama,2017.0,6,0.0935745477230193,32.7794,-86.8287,493.6539423076923,728.251090909091,-1e-06,607.189393939394,1231.7653846153846,1
Alabama,2017.0,7,0.1064631245043616,32.7794,-86.8287,534.787380952381,734.407,400.8,926.5731343283584,-1e-06,1
Alabama,2017.0,8,0.1046343229543808,32.7794,-86.8287,721.0371774193549,2.43875,334.17380952380944,1161.302,-1e-06,1
Alabama,2017.0,9,0.1040906472056846,32.7794,-86.8287,728.251090909091,-1e-06,607.189393939394,1231.7653846153846,-1e-06,2
Alabama,2018.0,1,0.1106792144026186,32.7794,-86.8287,400.8,926.5731343283584,-1e-06,-1e-06,-1e-06,3
Alabama,2018.0,10,0.1088217643528705,32.7794,-86.8287,-1e-06,-1e-06,-1e-06,-1e-06,-1e-06,5
Alabama,2018.0,11,0.1123829344432882,32.7794,-86.8287,-1e-06,-1e-06,-1e-06,-1e-06,-1e-06,5
Alabama,2018.0,12,0.1176351896690879,32.7794,-86.8287,-1e-06,-1e-06,-1e-06,-1e-06,-1e-06,5
Alabama,2018.0,2,0.1058579335793357,32.7794,-86.8287,334.17380952380944,1161.302,-1e-06,-1e-06,-1e-06,3
Alabama,2018.0,3,0.0953483477162702,32.7794,-86.8287,607.189393939394,1231.7653846153846,-1e-06,-1e-06,-1e-06,3
Alabama,2018.0,4,0.109769984058301,32.7794,-86.8287,926.5731343283584,-1e-06,-1e-06,-1e-06,-1e-06,4
Alabama,2018.0,5,0.1069709022398995,32.7794,-86.8287,1161.302,-1e-06,-1e-06,-1e-06,-1e-06,4
Alabama,2018.0,6,0.1002311409960075,32.7794,-86.8287,1231.7653846153846,-1e-06,-1e-06,-1e-06,-1e-06,4
Alabama,2018.0,7,0.1121476373960657,32.7794,-86.8287,-1e-06,-1e-06,-1e-06,-1e-06,-1e-06,5
Alabama,2018.0,8,0.0981175128351397,32.7794,-86.8287,-1e-06,-1e-06,-1e-06,-1e-06,-1e-06,5
Alabama,2018.0,9,0.1005830903790087,32.7794,-86.8287,-1e-06,-1e-06,-1e-06,-1e-06,-1e-06,5
Alabama,2019.0,1,0.1074199323652277,32.7794,-86.8287,-1e-06,-1e-06,-1e-06,-1e-06,-1e-06,5
Alabama,2019.0,10,0.1072664359861591,32.7794,-86.8287,-1e-06,-1e-06,-1e-06,-1e-06,-1e-06,5
Alabama,2019.0,11,0.1116474291710388,32.7794,-86.8287,-1e-06,-1e-06,-1e-06,-1e-06,-1e-06,5
Alabama,2019.0,12,0.1022571148184494,32.7794,-86.8287,-1e-06,-1e-06,-1e-06,-1e-06,-1e-06,5
Alabama,2019.0,2,0.1006375227686703,32.7794,-86.8287,-1e-06,-1e-06,-1e-06,-1e-06,-1e-06,5
Alabama,2019.0,3,0.09765797613787,32.7794,-86.8287,-1e-06,-1e-06,-1e-06,-1e-06,-1e-06,5
